make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Hyundai,Elite I20,2017.0,Petrol,35939.0,2,Manual,Hatchback,Kozhikode,Kerala,559601.0
Maruti,Alto 800,2016.0,Petrol + Cng,6180.0,1,Manual,Hatchback,Mumbai,Maharashtra,323901.0
Maruti,Dzire,2019.0,Petrol + Cng,46808.0,1,Manual,Sedan,Lucknow,Uttar Pradesh,614000.0
Kia,Seltos,2020.0,Diesel,26045.0,1,Manual,SUV,Bengaluru,Karnataka,1210300.0
Maruti,Ertiga,2017.0,Petrol,53056.0,1,Manual,SUV,Barrackpore,West Bengal,653200.0
Ford,Ecosport,2014.0,Petrol,85905.0,1,Manual,SUV,Pune,Maharashtra,454900.0
Toyota,Innova,2012.0,Diesel,117473.875,1,Manual,SUV,Mumbai,Maharashtra,519400.0
Toyota,Innova Crysta,2017.0,Petrol,91964.0,2,Automatic,SUV,Pune,Maharashtra,1364800.0
Tata,Tiago,2017.0,Petrol,47440.0,2,Manual,Hatchback,Bhopal,Madhya Pradesh,452000.0
Volkswagen,Polo,2015.0,Diesel,77595.0,1,Manual,Hatchback,Kolkata,West Bengal,368600.0
Toyota,Etios Liva,2018.0,Petrol,49804.0,1,Manual,Hatchback,Tripunithura,Kerala,565050.0
Volkswagen,Ameo,2018.0,Petrol,62492.0,2,Manual,Sedan,New Delhi,Delhi,428000.0
Ford,Ecosport,2014.0,Petrol,53429.0,1,Manual,SUV,New Delhi,Delhi,510899.0
Nissan,Terrano,2014.0,Petrol,76646.0,2,Manual,SUV,Bengaluru,Karnataka,538099.0
Maruti,Swift,2016.0,Petrol,24287.0,1,Manual,Hatchback,New Delhi,Delhi,479000.0
Skoda,Rapid,2012.0,Petrol,62923.0,1,Manual,Sedan,Thane,Maharashtra,238000.0
Volkswagen,Polo,2019.0,Petrol,59938.0,1,Manual,Hatchback,Hyderabad,Telangana,537600.0
Maruti,Celerio,2021.0,Petrol,11828.0,1,Manual,Hatchback,New Delhi,Delhi,485101.0
Maruti,Swift,2014.0,Petrol,37197.0,2,Manual,Hatchback,Thane,Maharashtra,377999.0
Hyundai,Santro Xing,2013.0,Petrol,49959.0,1,Manual,Hatchback,Noida,Uttar Pradesh,242399.0
Renault,Kwid,2020.0,Petrol,43365.0,1,Manual,Hatchback,Noida,Uttar Pradesh,386000.0
Maruti,Alto K10,2010.0,Petrol,77123.0,1,Manual,Hatchback,Chennai,Tamil Nadu,213499.0
Volkswagen,Ameo,2017.0,Petrol,50076.0,1,Manual,Sedan,Pune,Maharashtra,500000.0
Maruti,New  Wagon-R,2021.0,Petrol + Cng,31023.0,1,Manual,Hatchback,Faridabad,Haryana,627000.0
Maruti,Celerio,2017.0,Petrol,26125.0,1,Manual,Hatchback,Gurgaon,Haryana,359901.0
Maruti,Ertiga,2019.0,Petrol,78855.0,2,Automatic,SUV,Hyderabad,Telangana,870000.0
Jeep,Compass,2018.0,Petrol,45323.0,1,Automatic,Luxury SUV,Delhi,Delhi,1251800.0
Hyundai,Venue,2022.0,Petrol,6905.0,1,Manual,SUV,Sonipat,Haryana,913000.0
Maruti,New  Wagon-R,2021.0,Petrol + Cng,25028.0,1,Manual,Hatchback,Gurgaon,Haryana,649000.0
Tata,Tiago,2016.0,Petrol,58908.0,1,Manual,Hatchback,Surat,Gujarat,360000.0
Renault,Kwid,2019.0,Petrol,78870.0,1,Manual,Hatchback,Muvattupuzha,Kerala,338000.0
Hyundai,I10,2011.0,Petrol,63818.0,1,Manual,Hatchback,Junagadh,Gujarat,262000.0
Hyundai,Creta,2018.0,Diesel,71568.0,1,Manual,SUV,Ghaziabad,Uttar Pradesh,1340000.0
Tata,Nexon,2021.0,Petrol,17141.0,1,Manual,Hatchback,Delhi,Delhi,1048000.0
Maruti,Swift Dzire,2014.0,Petrol,6489.0,1,Manual,Sedan,Mumbai West,Maharashtra,453599.0
Maruti,Swift,2019.0,Petrol,11994.0,1,Manual,Hatchback,Kharar,Punjab,506199.0
Maruti,New  Wagon-R,2021.0,Petrol + Cng,31313.0,1,Manual,Hatchback,Delhi,Delhi,671000.0
Maruti,Alto 800,2015.0,Petrol,71784.0,1,Manual,Hatchback,Delhi,Delhi,220999.0
Maruti,Baleno,2017.0,Petrol,19206.0,1,Manual,Hatchback,Delhi,Delhi,493699.0
Hyundai,Creta,2019.0,Diesel,65144.0,1,Manual,SUV,Bhuj,Gujarat,983300.0
Hyundai,I20 Active,2015.0,Petrol + Cng,94575.0,2,Manual,Hatchback,Faridabad,Haryana,497000.0
Hyundai,Elite I20,2015.0,Petrol,26510.0,2,Manual,Hatchback,Dombivali,Maharashtra,461000.0
Hyundai,Santro Xing,2012.0,Petrol,24698.0,1,Manual,Hatchback,New Delhi,Delhi,197199.0
Mahindra,Scorpio,2017.0,Diesel,52999.0,1,Manual,SUV,Faridabad,Haryana,827600.0
Audi,A3,2014.0,Diesel,91887.0,2,Automatic,Luxury Sedan,Gurgaon,Haryana,585500.0
Maruti,New  Wagon-R,2020.0,Petrol,26118.0,2,Manual,Hatchback,Badhara,Haryana,423500.0
Hyundai,Elite I20,2015.0,Petrol,70031.0,2,Manual,Hatchback,Pune,Maharashtra,451000.0
Maruti,Ignis,2018.0,Petrol,49519.0,1,Manual,Hatchback,Chennai,Tamil Nadu,454700.0
Mahindra,Tuv300,2018.0,Diesel,42979.0,1,Manual,SUV,New Delhi,Delhi,624799.0
Honda,Accord,2011.0,Petrol,63041.0,1,Manual,Sedan,Delhi,Delhi,508000.0
Hyundai,I10,2016.0,Petrol,26540.0,1,Manual,Hatchback,Jaipur,Rajasthan,413000.0
Honda,City,2015.0,Petrol,51469.0,2,Automatic,Sedan,Ahmedabad,Gujarat,737000.0
Maruti,Xl6,2020.0,Petrol,18212.0,1,Manual,SUV,Chennai,Tamil Nadu,1076000.0
Hyundai,Creta,2017.0,Diesel,58528.0,1,Manual,SUV,Goutam  Budd  Nagar,Uttar Pradesh,914000.0
Volkswagen,Polo,2018.0,Petrol,28361.0,1,Manual,Hatchback,New Delhi,Delhi,623000.0
Hyundai,Elite I20,2014.0,Diesel,86102.0,2,Manual,Hatchback,Navi Mumbai,Maharashtra,490000.0
Datsun,Redi Go,2019.0,Petrol + Cng,41919.0,1,Manual,Hatchback,New Delhi,Delhi,317000.0
Hyundai,I10,2014.0,Petrol,94231.0,1,Manual,Hatchback,Chennai,Tamil Nadu,372000.0
Honda,Jazz,2011.0,Petrol,46178.0,1,Manual,Hatchback,Surat,Gujarat,325000.0
Kia,Seltos,2020.0,Petrol,8902.0,1,Manual,SUV,Gurgaon,Haryana,1139100.0
